,Time,ExpermientName,Subject,StartTime,CurrentTime,Section,Session,Round,Subtrial,ScenarioIndex,Reward_magnitude,Punishment_magnitude,DistanceAtStart,DistanceFromDoor_SubTrial,CurrentDistance,Distance_max,Distance_min,Distance_lock,RoundStartTime,DoorAction_RT,Door_opened,DoorStatus,Door_outcome,DidWin,Door_anticipation_time,ITI_duration,Total_coins,VASQuestionNumber,VAS_score,VAS_type,VAS_RT,Q_type,Q_score,Q_RT,ExperimentName
0,,,,1712674253.49323,9.59,VAS1,1,1,,,,,,,,,,,,,,,,,,,,1,50,Anxiety,6.130074977874756,,,,Doors
0,,,,1712674253.49323,11.51,VAS1,1,1,,,,,,,,,,,,,,,,,,,,2,50,Avoidance,1.899824857711792,,,,Doors
0,,,,1712674253.49323,14.68,VAS1,1,1,,,,,,,,,,,,,,,,,,,,3,52,Tired,3.1433448791503906,,,,Doors
0,,,,1712674253.49323,15.23,VAS1,1,1,,,,,,,,,,,,,,,,,,,,4,50,Mood,0.5191948413848877,,,,Doors
0,,,,1712674253.49323,19.0,Instructions,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors
0,,,,1712674253.49323,23.13,Instructions,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors
0,,,,1712674253.49323,24.49,Instructions,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors
0,,,,1712674253.49323,24.84,Instructions,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors
0,,,,1712674253.49323,25.17,Instructions,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors
0,,,,1712674253.49323,25.73,Instructions,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors
0,,,,1712674253.49323,26.1,Instructions,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors
0,,,,1712674253.49323,26.44,Instructions,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors
0,,,,1712674253.49323,26.95,Instructions,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors
0,,,,1712674253.49323,27.46,Instructions,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors
0,,,,1712674253.49323,28.06,Instructions,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors
0,,,,1712674253.49323,28.41,Instructions,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors
0,,,,1712674253.49323,28.85,Instructions,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors
0,,,,1712674253.49323,29.72,Instructions,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors
0,,,,1712674253.49323,30.19,Instructions,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors
0,,,,1712674253.49323,30.6,Instructions,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors
0,,,,1712674253.49323,30.95,Instructions,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors
0,,,,1712674253.49323,31.53,Instructions,1,19,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors
0,,,,1712674253.49323,,Practice,1,,1,0,0,0,0,,50,50,50,,32.48,,,,,,,,0,,,,,,,,Doors
0,,,,1712674253.49323,42.5,Practice,1,,1,50,0,0,0,74,74,100,36,0,32.48,10,,,,,,,0,,,,,,,,Doors
0,,,,1712674253.49323,47.12,Practice,1,,1,100,0,0,0,74,74,100,36,0,32.48,10,1,opened,reward,1,3586.2805361189285,,0,,,,,,,,Doors
0,,,,1712674253.49323,,Practice,1,,2,0,0,0,0,,50,50,50,,53.65,,,,,,,,0,,,,,,,,Doors
0,,,,1712674253.49323,55.56,Practice,1,,2,50,0,0,0,64,64,64,50,1,53.65,1904.71,,,,,,,0,,,,,,,,Doors
0,,,,1712674253.49323,59.73,Practice,1,,2,100,0,0,0,64,64,64,50,1,53.65,1904.71,0,closed,,,3608.1205292866434,,0,,,,,,,,Doors
0,,,,1712674253.49323,,Practice,1,,3,0,0,0,0,,50,50,50,,66.34,,,,,,,,0,,,,,,,,Doors
